MicroRNA	Sample_P004	Sample_P018	Sample_P010	Sample_P020	Sample_P015	Sample_P005	Sample_P007	Sample_P011	Sample_P009	Sample_P001	Sample_P006	Sample_P016	Sample_P019	Sample_P013	Sample_P012	Sample_P014	Sample_P017	Sample_P003	Sample_P002	Sample_P008
hsa-miR-200b-3p	364	2817	3676	9566.5	400.5	467	828	2208.5	1878	81	3620.5	1728	1177	3065	1147	678	1354.5	330	2498	436.5
hsa-miR-6516-3p	14	24	43	30	16	8	6	22	25	7	20	27	13	30	24	13	17	7	7	8
hsa-miR-7974	6	13	76	1	7	2	4	33	18		19	8	11	18	8	6	13	3	14	5
hsa-miR-1273e	1	1		1								3	1	3		3				1
hsa-miR-6499-5p		8	5	3	2	5		18	2		3	3	2	1	1	2	2	1	3	2
hsa-miR-1305		3	5						2		1	6	2	2	1		3			
hsa-miR-92a-3p	18792.5	34118	46443.5	22506.5	9150.5	33770	19283	50161.5	27969.5	6388.5	22661	23760	18707	37863	30508.5	41051	34753	28229.5	37751.5	20570.5
hsa-miR-337-3p	1	17	4	10	6	4	1	15	2	3	12	6	6	30	3	5	18	7	8	1
hsa-miR-6852-5p		2	2	3			1	2								2	3			
hsa-miR-937-3p		3	7		2	2	2	2			2	1	1	5	3	2	4	2	2	3
hsa-miR-302f													1							
hsa-miR-432-3p				1				2	1				1				2	1		
hsa-miR-6870-3p		1			1		1			1	1					1				
hsa-miR-6510-3p	14	103	43	4	3	29	33	23	11	8	143	6	67	112	33	34	12	19	40	20
hsa-miR-548i			4.5	3.5	1	1		2			1			1	1		2			1
hsa-miR-660-5p	54	679	953	944	134	97	94	824	715	32	568	860	240	863	336	345	788	121	346	85
hsa-miR-3660									1											
hsa-miR-550b-3p					1				1		2						1		1	
hsa-miR-520a-5p				3									1				1			
hsa-miR-421	15	108	187	160	38	18	16	169	73	11	90	137	76	137	69	55	129	26	85	14
hsa-miR-3180		1			0.5	0.5	0.5						1	1			0.5	1	0.5	
hsa-miR-151a-5p	307.5	1591.33333333333	1628.33333333333	2416.83333333333	480	483.5	401	2537.66666666667	1005.83333333333	248	1429.5	1484.33333333333	648.5	2845.5	1107	1444.5	1995.5	889.833333333333	1285.5	267.833333333333
hsa-miR-378g	2.33333333333333	7.66666666666667	9.83333333333333	7.5	1.5	3.83333333333333	2.83333333333333	14	1.83333333333333		15.3333333333333	8.5	5	16.8333333333333	11	0.333333333333333	29.8333333333333	7.33333333333333	8.5	1.5
hsa-miR-29a-5p	1	9	24	7	5	3	1	8	4		8	16	2	12	2	8	12	7	6	1
hsa-miR-6891-3p																			1	
hsa-miR-521				4																
hsa-miR-6894-3p			2			3		1			1	3				3	2	2		
hsa-miR-151a-3p	792	3347	3308	4490	1303	1321	1006	4405	2184	667	2755	2956	1652	5779	1921	3006	5729	1874	2708	775
hsa-miR-3155b																			1	
hsa-miR-200c-5p		18	15	10	3	4		13	6		6	4	4	6	4	6	2		6	
hsa-miR-4788														1						
hsa-miR-26b-3p	8	36	58	52	5	11	13	50	31	11	37	47	14	42	10	10	46	19	34	7
hsa-miR-1468-5p	2	8	2	8	1	1	1	3	7	4	7	2	4	6	3	2	12	4	5	2
hsa-miR-590-5p	1	6	8	5	3			3	5			2	1	1	1		3		2	
hsa-miR-523-5p				0.333333333333333	0.166666666666667															
hsa-miR-4483		20	17		1			8	4		9	4		6	3		11			1
hsa-miR-1281	20	26	18	14	24	23	16	30	5	122	11	22	57	9	73	65	18	16	26	38
hsa-miR-4796-3p	1			1				1						1						
hsa-miR-3657												1								
hsa-miR-582-3p	10	72	146	243	15	7	13	55	49	5	105	96	42	135	52	29	70	15	27	6
hsa-miR-148a-3p	1195.5	15712.5	12551.5	154039.666666667	3018.5	949.5	907.5	9521.16666666667	18916	2497	9415.83333333333	19495	3121	12473	5526	3515	10430.3333333333	1271.5	9438.16666666667	875
hsa-miR-106b-3p	48	351	568	357	142	111	66	503	279	37	204	413	168	402	173	216	598	93	231	67
hsa-miR-4482-3p		1		2	2								1		1				1	
hsa-miR-412-5p	1	5	1	1	2			2	4		5			2		1	5	1		
hsa-miR-5571-5p																1				
hsa-miR-6851-3p			1						1	2			3		4	2			1	1
hsa-miR-6502-5p				1					1						1					
hsa-miR-433-5p		2		2			1	2			1						1			
hsa-miR-570-3p	1		1						1								3			1
hsa-miR-1269b	1							8			24		1	7					1	
hsa-miR-6736-3p			1																	
hsa-miR-942-5p		5	17	2				3	4	1	1	2		1			5		4	
hsa-miR-4324	2	1	2		3	4	1	3		1			1	2	2	4	2	2	1	2
hsa-miR-4757-5p			1											2						
hsa-miR-3135a										1										
hsa-miR-129-2-3p	4	7	2		3	9	6	3		2	23	3	3	3		10	2	18	22	12.5
hsa-miR-324-3p	16	68	75	78	23	69	25	96	35	17	72	44	36	89	37	65	83	49	61	18
hsa-miR-6739-3p				1																
hsa-miR-3177-5p													1							
hsa-miR-5571-3p																	1			1
hsa-miR-4492	34	27.5	31	31.5	65.5	41	14	65.5	14	54	18	45	26.5	20.5	51	49	42.5	29	27.5	40
hsa-miR-581			1																1	
hsa-miR-520g-3p		1.5		5								1					1			
hsa-miR-3126-3p			1						1			1								
hsa-miR-5001-3p		5	1	1		2		1	2		1	1	2	1		1	2	1	1	
hsa-miR-506-3p									1					2						
hsa-miR-6748-5p												1								
hsa-miR-7109-3p	1	1																		
hsa-miR-4670-5p			1						1											
hsa-miR-31-3p	1	667	370	9	49	20	2	148	233	1	55	305	44	157	68	21	134	1	91	30
hsa-miR-1273h-3p	1		10	2	1	2		4	2	1		5	4	1	2	3	4	1		
hsa-miR-98-5p	77.5	1584.66666666667	2346.5	729.666666666667	133	153.5	120.833333333333	1143.16666666667	754.166666666667	42	926	1538.5	219.5	845.833333333333	366	344.666666666667	732.5	141	367.333333333333	86.5
hsa-miR-676-5p				1														1	1	
hsa-miR-2115-3p		1						1												
hsa-miR-29a-3p	773.5	3764	7778	6412.5	807.5	1007	682.5	5600	4063.5	604.5	3547	6923.5	925	6428.5	2079	2391.5	5087.5	1379.5	2501.5	624
hsa-miR-7152-5p						1														
hsa-miR-7113-3p						1														
hsa-miR-362-5p	9	34	51	37	18	19	16	99	48	5	45	22	16	116	57	49	105	40	36	13
hsa-miR-1286			2	3				1												
hsa-miR-505-3p	9	36	77	36	9	19	9	64	38	6	29	45	21	84	31	32	64	30	39	5
hsa-miR-6780a-5p															1		1			
hsa-miR-6802-3p		1				1	1	1			1		1						1	
hsa-miR-15a-5p	74	855	2192.5	726	116	128	59	780.5	800	73	546	1531	213	566	207	173	616	113	244	67
hsa-miR-484	137	408	843	400	284	623	261	818	375	128	356	496	251	730	406	598	523	539	606	190
hsa-miR-548as-5p		1	1									1							1	
hsa-miR-382-3p		19	22	19	8	1		20	12	1	13	16	5	16	2	5	25	2	4	
hsa-miR-6770-5p					1									1				1		
hsa-miR-550a-3-5p								2					1.5	2.5			2.5	0.5		
hsa-miR-3622b-5p					1									1						
hsa-miR-4701-5p						1								1	1					
hsa-miR-147a								1												
hsa-miR-432-5p	4	59	29	90	21	26	9	71	24	15	49	38	33	106	17	23	106	25	40	4
hsa-miR-204-3p								2	2		3		1				2			
hsa-miR-6724-5p	3	2	3	1	2	4	2	3				3		1	2	3	4	1	3	
hsa-miR-3663-3p		1															1			
hsa-miR-124-3p	1	2		1				1	16	3	2		1	6						1
hsa-miR-96-3p		1	2	2							1									
hsa-miR-1913			2	1								1						1		
hsa-miR-6886-5p		2					1										1			
hsa-miR-4309															1					
hsa-miR-320d	7.83333333333333	9.83333333333333	19.3333333333333	15.5	7.5	26.0833333333333	7.5	33.0833333333333	8.5	3.5	13.1666666666667	9.5	7.83333333333333	32	16.3333333333333	21.3333333333333	34	26.6666666666667	11.0333333333333	16.8333333333333
hsa-miR-4290										1						1				1
hsa-miR-526b-5p				6	1															
hsa-miR-3620-5p					1	2								4		2.5	5.5	1		1
hsa-miR-3926															1		1			
hsa-miR-95-3p	7	44	74	15	3	15	8	58	7		67	62	8	83	37	25	82	44	24	15
hsa-miR-4688			1			2	1	2												
hsa-miR-222-3p	441	3795	3297	1058	764	960	644	3530	2106	234	2199	1570	1349	2043	1580	1726	2107	575	1200	564
hsa-miR-345-3p				1			1							1			1			
hsa-miR-6865-3p		1								2						1	1		1	
hsa-miR-3176	2	2	4	2				6			1	1	1	2			1			2
mir																				
hsa-miR-6824-3p				1		1					2	1	2			2	1	2		
hsa-miR-4796-5p											1									
hsa-miR-502-5p		5	26.3333333333333	2	1	2	3	7	4	2	11	7	6	4	1	3	14	5	3	1
hsa-miR-7641	189	450	454	517	428	113	140	200	304	297	246	662	565	236	442	175	115	122	240	329
hsa-miR-1180-3p	7	12	18	10	7	14	12	29	13	3	22	16	13	45	17	16	43	22	20	10
hsa-miR-5187-3p			1					1	1								1			
hsa-miR-1297		3		2		1		5	2		1	2			1	2		2		1
hsa-miR-3944-5p				1																
hsa-miR-548at-5p		1	2	3								1					2			
hsa-miR-664a-3p	93	140	139	446	131	521	160	432	155	147	196	149	82	353	215	435	269	345	327	222
hsa-miR-143-5p	9	76	48	129	11	6	4	47	22	11	35	68	19	67	38	27	54	10	51	6
hsa-miR-4522											1									
hsa-miR-4753-5p											1	1			1		1			
hsa-miR-383-5p				2					10	8	1	2								
hsa-miR-34c-3p	1	5	6	3	7	12	2	10	2	1	2		3	13	9	3	6	7	2	2
hsa-miR-503-5p		10	8	6	4	1	1	13	5		5	17	3	6	2	2	9		2	
hsa-miR-6784-3p						3					1				1	1		2		
hsa-miR-767-3p									1											
hsa-miR-6875-5p		1											2			2		1		
hsa-miR-6875-3p						1														
hsa-miR-1234-3p		2	1	1				2									1		1	1
hsa-miR-19a-5p		2	8						1		2	4				2	1			1
hsa-miR-6779-5p																			1	
hsa-miR-6789-3p		1			1															
hsa-miR-134-3p		2		2		1		3	2		1		1	3		2	1			
hsa-miR-936							1				1			1						
hsa-miR-1233-3p				1				3			1	1	1		1	1			1	
hsa-miR-193a-3p	49	602	456	264	65	125	79	442	271	44	325	281	103	442	161	219	416	111	252	110
hsa-miR-1185-5p	1	12	6	6	2	1	1	10	4	2	6	2	2	13	2	3	12		1	
hsa-miR-133a-5p	2	36	4	5		13	3	17			43	70		115	34		167	66	12	
hsa-miR-6501-3p				1		1		2				1		2						
hsa-miR-6847-5p					1				1					1						
hsa-miR-1260b	618.5	702	880	743	867.5	1014.5	561	1410	445	232	573.5	591.5	607.5	691.5	1655.5	1460.5	570.5	1437	1010.5	535.5
hsa-miR-4536-3p								2												
hsa-miR-6833-3p										1								1		
hsa-miR-185-3p	2	2	12	8		3	1	8	4		2	8	1	7	8	2	7	3	2	1
hsa-miR-4529-3p						1		3	1			6		2			1	1		
hsa-miR-1273d										1	1	1	1		1					
hsa-miR-1277-3p		2	9	1					1		1		1		1					
hsa-miR-1538			1	2		1		2	1							1	4			1
hsa-miR-4776-3p		1				3	1		1			1		1		2				1
hsa-miR-1243											2				1		1			1
hsa-miR-30c-2-3p	11	18	13	118	3	12	6	34	16	7	21	21	6	50.5	18	29	82	37	51.5	7
hsa-miR-208a-3p		1				1	1	5			8	12		29	3		13	2	1	
hsa-miR-3116		1		1				1						1				1		
hsa-miR-4738-5p												1								
hsa-miR-30e-3p	81.5	681.5	734.5	823.5	61.5	127	90	748.5	464.5	50	598	560	228.5	633.5	278	244.5	649	151.5	352	66
hsa-miR-149-5p	252	424	993	113	184	326	337	762	394	140	605	316	266	784	483	254	566	472	514	173
hsa-miR-3198												1								
hsa-miR-5190							1		1										1	
hsa-miR-221-3p	339	6626	6995	1504	904	661	485	5563	3770	209	3311	3017	1379	2897	1812	1819	2586	550	1323	579
hsa-miR-4712-3p												1					1			
hsa-miR-3139		1	1						1											
hsa-miR-6750-3p									1									1		
hsa-miR-6778-3p				1																
hsa-miR-4999-5p			1									2		1			1			
hsa-miR-4481								1												
hsa-miR-20b-3p			1	1							1		1				1		2	
hsa-miR-4636		1	2	1	1							2	1	1	1	1				
hsa-miR-449b-5p		1	2		2	1		3					2	1		1		1		
hsa-miR-5188		2		1													1			
hsa-miR-4652-5p		1									1	1	1			1				
hsa-miR-652-3p	22	106	198	171	53	92	42	171	101	25	104	146	56	200	86	135	245	82	91	28
hsa-miR-4737				2																
hsa-miR-498				1								1								
hsa-miR-3656	10	7	9	22	7	14	5	29	8	16	6	12	7	2	24	16	24	17	17	3
hsa-miR-1469			1							1	3	5			2	1	2	1		
hsa-miR-1262			3		1	3		3	1	1	1	2		3		1			2	
hsa-miR-4662a-5p		2	4	2		2		3	3		2	3	1	3	3	3	2		2	
hsa-miR-4795-3p			1																1	
hsa-miR-6084					1										1	1				
hsa-miR-29c-5p	9	52	82	77	10	29	9	86	31	4	62	69	12	117	35	40	89	25	59	10
hsa-miR-374b-5p	51.3333333333333	528.833333333333	640	546.333333333333	113.333333333333	114.833333333333	88.5	636.833333333333	358	44	318.666666666667	533.333333333333	178	535.166666666667	223.333333333333	236.333333333333	638.833333333333	157.333333333333	264.5	50
hsa-miR-30c-1-3p	8	15	19	27	11	9	6	30	15	6	20	6	6	21.5	14	26	26	18	19.5	1
hsa-miR-616-3p			1					1					2	1			1			
hsa-miR-548w		1	5.5	3.5				1.5	4			1.5		2	3		4.5		2	1
hsa-miR-212-3p	3	13	48	25	9	11	7	15	11	5	14	31	14	23	8	12	37	11	52	15
hsa-miR-585-5p		5	1	4	1	2	3	4	1	2	4			3		3	4		3	1
hsa-miR-4445-5p				1																
hsa-miR-1224-5p								1	1					1		1				
hsa-miR-561-5p	3	11	42	65	3	3	4	15	9	2	32	12	7	32	12	7	21	13	11	
hsa-miR-4772-5p		1	4		1			1	1			3					1			
hsa-miR-4786-3p												1								
hsa-miR-6764-3p								1												
hsa-miR-3158-3p	1	7	12	3	1	4	4	11	6	1	6	3	3	11	6	4	9	3	5	1
hsa-miR-4427											1								1	
hsa-miR-23b-5p		1	3	2	5	2		3	3			2		3	1	2	7		1	
hsa-miR-3913-5p	1	3	8	11		2	1	8				3	2	4	3	3	3	2	1	
hsa-miR-802								2			1	1								
hsa-miR-6740-3p																			1	
hsa-miR-125b-5p	5526	9140	6702	10897	3720	12273	6179	16972	5456	5395	8950	5052	4365	17839	10721	23487	15986	16613	11626	5845
hsa-miR-592		8	13	2				1	3		5	20	1	1	2				2	1
hsa-miR-6804-5p		1																		1
hsa-miR-3651	6	27	28	30	20	12	9	29	11	4	12	17	22	11	19	13	19	10	16	14
hsa-miR-6753-5p																	1			
hsa-miR-545-5p		3	2	6				2	3			3			1					
hsa-miR-4773		1										1		1			1			
hsa-miR-371b-5p			5	8	1				1					2		1	2			
hsa-miR-4468			1																	
hsa-miR-940	5	11	27	5	7	15	9	15	4	2	6	9	14	14	6	20	15	15	14	3
hsa-miR-519d-5p																	1			
hsa-miR-33b-3p	1	8	9	2	3	2	1	8	3		10	8	4	5	1	4	5	1	2	2
hsa-miR-588			1																	
hsa-miR-516b-5p				10	1			1				13	1			1				
hsa-miR-671-3p	20	20	49	50	11	31	19	53	28	17	27	27	49	38	46	47	32	41	61	10
hsa-miR-1251-5p			1																	
hsa-miR-545-3p		1	2	2				1				3		1	1	1	1			
hsa-miR-1261		4	9	12	2	6	3	6	3	2	3	13	2	3	8	2	8	2	4	3
hsa-miR-184		2						2			2		1	4		7	2		1	
hsa-miR-146a-3p		1	8	2					4			8	1				7	1		
hsa-miR-449c-5p		5	7	2	2			13	2		1				1		4			
hsa-miR-93-3p	3	16	14	12	2	9	11	13	12	8	8	7	11	14	17	16	17	13	5	6
hsa-miR-7151-3p	1											1						1	1	
hsa-miR-135b-5p	2	155.5	346	58	12	30	7	66	42	5	44	127.5	8	55.5	28	23	38	4	58	17
hsa-miR-128-2-5p						1					1						1	1		
hsa-miR-6800-3p			2											1						1
hsa-miR-548j-3p		1	2		1					1						1				
hsa-miR-195-5p	245	1290.5	1027	1050.5	249	406	266	2337	2022	601	1332	1466	348.5	2549.5	575	803	2322	699	811.5	197
hsa-miR-1292-3p							1		1						1					
hsa-miR-6814-3p						1		1			1			1						
hsa-miR-6735-3p				1													1			
hsa-miR-651-3p								1												
hsa-miR-125a-3p	4	26	33	14	6	16	9	48	10	6	16	13	10	34	20	22	30	23	25	8
hsa-miR-548av-3p								0.5	0.333333333333333					0.5	0.5					
hsa-miR-5701	59	115	121	76	67	99	57	125	89	30	49	136	83	83	102	113	64	66	77	42
hsa-miR-7847-3p												1		1	1	1				
hsa-miR-4258	1	2	1	2	1	1		2					1		3	2				1
hsa-let-7a-2-3p		1	3		1	4	1	2		1	1		1	4	2	3	5	7		
hsa-miR-4497	33	65	48	75	76	34	21	19	33	73	27	60	88	23	68	35	23	33	47	42
hsa-miR-1181				1													1			
hsa-miR-6820-5p			1		2			1												1
hsa-miR-224-3p	5	26	14	8	3	19	7	26	11	8	28	9	6	31	25	17	19	21	22	10
hsa-miR-6819-3p			1			1	2	1					1				1		1	
hsa-miR-520d-3p		1		2								1								
hsa-miR-3121-3p																			1	
hsa-miR-4447			1																	
hsa-miR-3182	56	520	769	143	89	9	39	239	165	23	259	373	132	98	61	17	46	34	102	50
hsa-miR-450b-5p	1	35	15	25	4	1		37	15		16	44	4	15	4	2	4		4	
hsa-miR-6894-5p		1		1	1	1														
hsa-miR-4271								1							1					
hsa-miR-4792	1272	2206	1943	3818	2727	646	842	1239	1279	2162	1026	2789	2870	873	1869	1145	942	960	2048	2428
hsa-miR-452-5p	20	217	347	42	49	23	27	234	191	7	206	230	53	199	109	70	162	23	74	30
hsa-miR-1228-5p				2													1	1		
hsa-miR-3654												1						1		
hsa-miR-642a-5p		1	4	5	1	2		1	4		1			5		4	5	1	4	1
hsa-miR-7114-3p				1				1						1		1		2		2
hsa-miR-6753-3p		1						1												
hsa-miR-299-3p	1	29	26	42	11	3	5	34	8	2	48	16	8	45	12	8	51	7	24	1
hsa-miR-363-5p				1													2			
hsa-miR-636	2		2		1	1		1			1	1							2	
hsa-miR-3152-3p													1							
hsa-miR-4254																1				
hsa-miR-607											1									
hsa-miR-7851-3p																			1	
hsa-miR-520c-5p				0.25																
hsa-miR-580-3p		1	2	1			1	5			1	5		4		1	1			
hsa-miR-3150b-5p					1															
hsa-miR-3174		5	3	3				2	3		1	2			2	1	1			
hsa-miR-6881-5p																		1		
hsa-miR-25-5p	9	15	13	16	4	5	1	25	8	1	6	6	11	14	12	14	18	11	6	1
hsa-miR-934		1	4	7				2											3	
hsa-miR-548am-3p		0.333333333333333															2			
hsa-miR-3939							1													
hsa-miR-424-5p	13	648	280	535	134	25	18	347	368	15	173	770	95	266	67	39	271	21	71	21
hsa-miR-194-5p	10	48	80	65	18	15	12	84	58	5	45	53	16	87	29	48	82	21	37	5
hsa-miR-3178	22	64	53	64	100	23	26	26	42	74	24	42	88	37	85	31	32	41	38	76
hsa-miR-548b-3p		3	3		1	1		2			1	2		1	1	1			3	
hsa-miR-3667-3p												1								
hsa-miR-4651	1	1			1	3									1					
hsa-miR-1322								1												
hsa-miR-4798-5p									1		1	2								
hsa-miR-6842-3p		4	8	5			3	3	4	1	3	8	1		1	3	5	2	6	
hsa-miR-4742-3p		1				2		1				1				2				
hsa-miR-148a-5p	28	194	155	1960	86	26	22	199	234	48	120	208	108	222	110	108	257	41	244	15
hsa-miR-4781-3p	1		3	1				1			1			1			4			
hsa-miR-4518			1																	
hsa-miR-3944-3p			3					2							1					
hsa-miR-3609	2	5	9	11	9	2	8	10	5	18	2	14	13	10	3	6	3	7	6	8
hsa-miR-548aw		1	1									1	1	3	1			1	1	
hsa-miR-4716-5p																				1
hsa-miR-548a-3p	1	1	4	2				2			1	3		1			1			
hsa-miR-7975	14	54.5	28	44	39	12	20	39	23.5	14.5	52.5	32	42.5	72.5	68	31	54.5	14	32.5	28
hsa-miR-6126	4	5	1	9	18	2	4	3	9	7	5	4	18	6	14	6	3	7	6	7
hsa-miR-4440			1															1		
hsa-miR-1255a		1		1			1				2	3		2	1		2		6	
hsa-miR-378h	1.5	15	9	4.5	1	4	2.33333333333333	14	6		20.3333333333333	15	1.5	34.3333333333333	13.5	1.5	32.1666666666667	11.5	4	2
hsa-miR-7976		3	2					2				1					4		1	2
hsa-miR-99b-5p	2960	5895	4248	6956.5	3680	6868.5	4682	10047.5	3069	4096.5	5186	4283	3775	10790	6134	10393	8574	9329	10133	3748
hsa-miR-548au-5p	0.25	0.75	4.33333333333333	3.5	0.25	0.25			1.41666666666667		1	0.75	0.583333333333333	0.75			0.75		0.25	
hsa-miR-494-3p	2	17	6	21	9	9	9	17	7	2	14	11	21	35	10	10	42	15	12	5
hsa-miR-221-5p	7	121	96	44	10	20	7	96	89	3	66	49	46	53	44	37	47	14	40	10
hsa-miR-6780a-3p												1								
hsa-miR-3664-3p			1	4					1			1							1	
hsa-let-7f-2-3p		22	34	16	4	2		22.5	20	4	11	35		13	11	6	11	6	9	3
hsa-miR-551a			1	4			1	1	1		1	1		4	1				1	
hsa-miR-6832-3p						1														
hsa-miR-4749-5p				1											1					
hsa-miR-3167								1												
hsa-miR-1295b-5p									1				2	1						
hsa-miR-4660			1																	
hsa-miR-619-5p	3	14	8	18	13	3	2	3	12	6	5	17	22	6	10	9	3	1	8	9
hsa-miR-215-5p	2	9	23	11.5	1.5	4	2	14	8.5		11	17.5	1.5	14	2.5	4	28	3.5	6.5	3
hsa-miR-6127						1														
hsa-miR-1292-5p	1	1		1	3	1	1	2			1	1	2		1	1	1	1		1
hsa-miR-597-5p	1	1	1					2						1	2		3			
hsa-miR-605-5p							1			2			1	1		1	1	5	2	
hsa-miR-6806-3p				3	2						1			1	1		1			
hsa-miR-550a-3p	6	7	22	9	5	4	3	17	5	2	4	14	7	5	9	19	17		12	
hsa-miR-3144-3p					1						1									
hsa-miR-6758-3p					1															
hsa-miR-5684		4	4	3				1		3	1		1		3		1	1	1	
hsa-miR-150-5p	570	632	3631	944	1948	1460	544	5606	6525	624	449	2988	2924	1787	635	5146	4279	1930	1450	279
hsa-miR-361-3p	122	249	493	374	196	235	109	619	297	154	151	405	164	424	227	463	596	232	342	108
hsa-miR-6133												1		1						
hsa-miR-4446-3p	1			1		1		1				3	3	1					1	
hsa-miR-3127-3p																	1			
hsa-miR-4281								1		1										
hsa-let-7e-5p	163	1147.5	988	974	253.5	429	258.5	1349	430.5	112.5	742	724	291.5	1159	423	618	981	728	892	204
hsa-miR-4510		16	5.5	9.5		0.5	2.5	7.5	3		5.5	2.5	1	7.5	5.5	6.5	8.5	3	4.5	
hsa-miR-628-5p	1	29	20	32	2	5	3	16	13	2	21	31	2	21	3	7	21	8	8	1
hsa-miR-4301	4	5	10	5	6	15	3	17	9	1	7	2	5	21	12	19	14	10	9	1
hsa-miR-4708-5p			1					2				2						1		
hsa-let-7f-1-3p	5.5	26.5	34	18	4.5	8.5	3	30.5	14.5	5.5	19	29.5	10.5	36	13.5	6	18.5	7.5	24.5	6
hsa-miR-100-3p		11	5	2	1	2	2	17	13	2	6	14	1	10	4	7	8	2	5	
hsa-miR-3133			1					3						2		2	1			
hsa-miR-760		3	1		1	2	5	1		1	1	1	1	5	1	3	3	2	3	
hsa-let-7c-3p	1	2	4	5		2	2	10			5	4	4	13	4	4	6	3	3	
hsa-miR-323a-5p			1														2			
hsa-miR-203b-3p	4	33	40	2	11	3	3	25	23	2	28	14	4	21	12	12	26	2	9	6
hsa-miR-6777-3p			1				2									2			1	2
hsa-miR-345-5p	53	109	288	394	41	77	24	240	144	23	143	181	125	317	87	133	273	105	178	19
hsa-miR-877-5p	10	15	25	5	14	19	8	16	7	2	19	10	6	16	12	23	31	18	15	9
hsa-miR-4724-5p				1					1								1			
hsa-miR-1296-3p			1	3	1			2		1			1	1				1		
hsa-miR-5008-5p		1																		
hsa-miR-4700-3p				1																
hsa-miR-27b-5p	22	236	209	55	49	26	23	239	104	14	195	99	55	178	87	40	198	28	76	21
hsa-miR-5000-3p	1	1	3	3				2			1	1		4			1		1	
hsa-miR-4776-5p	1	3	1		1	3	4	3			5			2	4	1				9
hsa-miR-1227-3p		2	3	1			1	5	1	1	1			4			1	2	1	
hsa-miR-3929		2						1			1				1		1			
hsa-miR-6813-5p									1											
hsa-miR-1256									1				1							
hsa-miR-105-5p											2									
hsa-miR-640														1						
hsa-miR-7846-3p			1						1											
hsa-miR-199a-3p	590	9285.5	7907	5055	1520.5	1089	856.5	9385	7230	895.5	6334.5	7630.5	2199.5	12834.5	3553	2916	7920	1652	2523	695.5
hsa-miR-6737-3p		1		4		4	1	4	1		1	2		5				5		1
hsa-miR-30d-3p	7	63	70	43	5	7	1	42	31	3	52	58	10	58	19	16	30	11	24	4
hsa-miR-125b-1-3p	26	88	140	88	41	69	25	159	35	38	94	73	59	187	64	70	239	56	88	26
hsa-miR-1307-5p	104	335	512	317	88	123	115	395	145	72	253	302	133	254	163	140	336	104	216	97
hsa-miR-32-3p		4	9				1	2	4			4		1		1	1	1		2
hsa-miR-4435			1			1								2			3			
hsa-miR-4500			1					3	5	1	2	2				1	2	1		
hsa-miR-6798-3p			4		1	4	2		1			1				1				
hsa-miR-525-3p				2																
hsa-miR-4273			1	1																
hsa-miR-708-5p	61	491	853	103	136	101	93	616	248	12	315	455	182	532	225	165	515	69	282	55
hsa-miR-488-3p		1	3	8							1	1		4			1			
hsa-miR-4466	5	23	16	19	13	11	12	7	10	7	8	13	15	11	9	11	12	7	9	13
hsa-miR-4769-3p		1		2				1						1						
hsa-miR-1910-5p		2	5	1	2		1		1		2	2	3	3	2	6			1	
hsa-miR-6764-5p			1	1										1						
hsa-miR-548y											1		1							
hsa-miR-548ab		1	2	1.5							0.5						1.5			
hsa-miR-181a-3p	52	192	179	318.5	170.5	103	32	563	361	77	106	315	393	362	116	187	485	145	183	33
hsa-miR-3914																		1		
hsa-miR-664a-5p	3	1	1	8		10	1	8	5	1	4	1		8	5	3	5	2	9	3
hsa-miR-34a-5p	32	564	522	560	40	53	49	303	299	61	269	469	97	431	106	112	310	57	121	49
hsa-miR-466								1			1	1		1						
hsa-miR-335-5p	15	124	87	828	25	30	14	131	80	5	181	197	27	182	43	77	295	32	124	13
hsa-miR-4279	2	4	1	3	3	2		5	2	14	1	1	2		3	3	2		3	6
hsa-miR-5588-3p			1											1					1	1
hsa-miR-219b-3p		1										1					1			
hsa-miR-4425			2	1																
hsa-miR-6769a-5p								1												
hsa-miR-5091									1		1									
hsa-miR-99b-3p	9	73	80	45	25	39	19	77	22	6	40	58	33	93	32	40	59	35	63	12
hsa-miR-26a-5p	12787.5	72683	66362	104683	12676.5	18900	14387.5	106838.5	55946	12475.5	66834.5	68339	19867.5	111781.5	42431	46063	74220.5	27704	45998.5	10351.5
hsa-miR-16-2-3p	6	31	112	32	10	8	3	43	38	2	23	76	6	32	12	15	60	8	18	
hsa-miR-320a	918.5	1980.66666666667	2189.16666666667	1569	1034	3967.08333333334	1985.66666666667	3301.58333333333	1352.5	1032	1938.5	1437.66666666667	1056.66666666667	3721.16666666667	1859.33333333333	2987	4123.83333333333	4041.66666666667	2675.53333333333	1796.66666666667
hsa-miR-181a-5p	2706	16168.5	17765.5	16617.5	6571	4967	2542	33342	33426	3412	9558.5	21651	10472	26913	7934	8961	23186.5	7366.5	11238.5	2626.5
hsa-miR-4662a-3p																	1			
hsa-miR-6747-3p		1	2		1	3	2	2			2	1		3		3	2	3	1	
hsa-miR-4766-3p				1							2	1								
hsa-miR-190a-5p	3	18	40	24		3	1	20	10	4	19	30	4	13	4	6	12	2	7	3
hsa-miR-1245b-3p																1				
hsa-miR-7109-5p		1																		
hsa-miR-6728-3p																	1			
hsa-miR-1249	22	20	36	31	16	111	25	77	15	12	19	16	18	53	22	91	42	194	26	25
hsa-miR-6749-3p		2	2		2	3	1	1	2		3		1	4	5	3	3	1	3	1
hsa-miR-4647											2									
hsa-miR-3165				1										1						
